Mating System: Maternal Dominant Sporophytic Self Incompatibility, with Distance-Dependent Pollination

Runs=50, Generations=500, Initial PopSize=250, Safe Sites=0.250, First Reproduction=2
Maximum Per-Capita Ovule Production=100.000, Seed Establishment=0.050, Deathrate=0.050
Pollen Dispersal Range=142, Seed Dispersal Range=50, SI Alleles=10, Neutral Alleles=3

GEN	NPOLL	ERR1	VPOLL	ERR2	SDS1	ERR3	VFSD1	ERR4	VMSD1	ERR5	SDS2	ERR6	VFSD2	ERR7	VMSD2	ERR8
18	0.679	0.018	0.318	0.007	31.434	0.763	426701.906	22676.637	1201.203	13.473	0.095	0.002	3.857	0.178	0.121	0.004
19	0.675	0.021	0.308	0.008	32.204	0.889	468438.188	27898.047	1273.810	15.329	0.096	0.003	4.075	0.210	0.125	0.004
20	0.686	0.023	0.298	0.010	33.371	1.029	523057.438	33477.234	1301.666	16.860	0.097	0.003	4.269	0.226	0.128	0.004
21	0.692	0.024	0.297	0.010	33.741	1.051	554141.938	36339.480	1312.265	17.933	0.092	0.002	3.964	0.187	0.118	0.003
22	0.686	0.025	0.293	0.010	33.687	1.086	573524.062	38560.648	1314.729	18.287	0.086	0.002	3.576	0.171	0.114	0.004
23	0.675	0.024	0.294	0.010	33.582	1.121	591586.375	41389.672	1319.699	18.561	0.087	0.003	3.887	0.259	0.112	0.005
24	0.706	0.024	0.287	0.010	35.129	1.117	661543.625	43692.406	1313.356	20.289	0.083	0.002	3.540	0.187	0.106	0.004
25	0.700	0.025	0.283	0.010	35.240	1.172	687430.062	46870.109	1310.419	21.200	0.079	0.002	3.235	0.134	0.099	0.003
26	0.702	0.026	0.277	0.011	35.698	1.265	728365.625	52537.781	1313.528	23.689	0.078	0.002	3.234	0.138	0.102	0.004
27	0.682	0.024	0.287	0.009	34.967	1.195	711175.688	50642.840	1334.318	22.635	0.074	0.002	3.043	0.162	0.094	0.003
28	0.674	0.024	0.290	0.008	34.978	1.234	728317.812	53550.820	1351.297	22.628	0.072	0.002	2.996	0.180	0.090	0.003
29	0.681	0.024	0.285	0.009	35.815	1.278	776472.750	57405.078	1360.973	23.980	0.074	0.002	3.161	0.173	0.095	0.004
30	0.702	0.026	0.272	0.010	37.345	1.373	860989.250	63845.348	1356.029	24.408	0.069	0.002	2.782	0.171	0.084	0.003
31	0.713	0.026	0.273	0.010	38.078	1.391	908958.812	65009.305	1370.554	23.714	0.067	0.002	2.639	0.131	0.085	0.003
32	0.706	0.025	0.276	0.009	38.109	1.378	922740.625	65954.234	1400.276	23.120	0.063	0.002	2.453	0.155	0.080	0.003
33	0.692	0.025	0.279	0.009	37.884	1.382	923215.625	67187.000	1420.531	23.567	0.066	0.002	2.615	0.143	0.082	0.003
34	0.694	0.024	0.284	0.009	38.485	1.400	957824.000	68678.211	1443.839	23.632	0.065	0.002	2.550	0.121	0.083	0.003
35	0.695	0.024	0.284	0.008	39.071	1.378	992360.500	68521.555	1468.029	23.580	0.065	0.002	2.636	0.146	0.081	0.003
36	0.708	0.025	0.273	0.010	40.371	1.419	1069726.125	71846.562	1468.896	25.772	0.062	0.002	2.410	0.126	0.076	0.003
37	0.710	0.025	0.274	0.010	40.533	1.436	1092805.625	73808.016	1482.636	26.352	0.063	0.002	2.485	0.118	0.077	0.002
38	0.704	0.026	0.271	0.010	40.818	1.489	1121809.500	77599.211	1496.877	26.427	0.060	0.001	2.270	0.117	0.074	0.002
39	0.691	0.025	0.275	0.009	40.640	1.504	1126809.625	79778.516	1522.021	27.004	0.062	0.002	2.487	0.151	0.075	0.003
40	0.688	0.025	0.278	0.009	40.705	1.547	1140303.250	82574.000	1533.282	26.959	0.059	0.001	2.226	0.097	0.073	0.002
41	0.685	0.024	0.278	0.009	40.975	1.501	1154052.375	81244.711	1560.223	26.567	0.058	0.001	2.126	0.089	0.072	0.002
42	0.693	0.023	0.280	0.009	41.354	1.478	1170906.625	79676.133	1561.403	27.468	0.058	0.001	2.161	0.121	0.069	0.002
43	0.696	0.024	0.276	0.009	41.861	1.526	1206659.625	82845.461	1570.938	27.581	0.057	0.002	2.188	0.129	0.071	0.002
44	0.693	0.024	0.277	0.008	42.131	1.544	1227245.625	83928.477	1584.993	27.393	0.057	0.001	2.092	0.111	0.070	0.003
45	0.687	0.023	0.284	0.008	41.681	1.519	1206289.000	83042.281	1603.876	27.237	0.054	0.002	1.961	0.114	0.067	0.003
46	0.686	0.023	0.286	0.007	41.865	1.512	1214868.000	82212.695	1614.991	26.468	0.057	0.001	2.098	0.110	0.068	0.002
47	0.683	0.023	0.284	0.008	42.116	1.522	1228225.000	83667.695	1623.638	27.934	0.057	0.002	2.139	0.120	0.070	0.002
48	0.674	0.023	0.295	0.008	41.420	1.539	1196337.250	85000.977	1639.549	27.721	0.055	0.002	2.039	0.142	0.067	0.003
49	0.677	0.023	0.286	0.009	42.122	1.583	1246905.500	89090.516	1644.514	29.754	0.054	0.002	1.954	0.120	0.064	0.002
50	0.665	0.023	0.287	0.008	41.713	1.574	1224043.500	88418.570	1660.459	29.587	0.057	0.001	2.108	0.107	0.070	0.002
51	0.692	0.025	0.281	0.011	43.215	1.636	1305785.875	91374.023	1633.980	33.962	0.054	0.001	1.922	0.104	0.066	0.002
52	0.698	0.025	0.279	0.011	43.548	1.676	1333116.125	94195.297	1637.386	34.806	0.056	0.001	2.081	0.118	0.068	0.002
53	0.682	0.026	0.275	0.009	43.298	1.683	1322081.625	94404.906	1652.444	34.840	0.054	0.001	1.953	0.108	0.066	0.002
54	0.667	0.025	0.283	0.009	42.420	1.655	1274064.000	93028.180	1676.018	33.112	0.054	0.002	2.041	0.142	0.067	0.002
55	0.667	0.023	0.289	0.008	42.419	1.605	1269558.375	91684.625	1688.999	32.482	0.052	0.001	1.799	0.100	0.062	0.002
56	0.666	0.023	0.292	0.008	42.237	1.562	1252016.875	87391.492	1699.790	32.116	0.053	0.002	1.884	0.118	0.064	0.003
57	0.669	0.023	0.294	0.007	42.117	1.542	1239827.625	86241.203	1696.770	30.913	0.052	0.001	1.807	0.105	0.063	0.002
58	0.670	0.022	0.294	0.008	42.447	1.478	1244232.000	84072.320	1707.278	30.149	0.052	0.002	1.813	0.126	0.062	0.003
59	0.664	0.021	0.297	0.008	42.186	1.473	1228868.625	84121.219	1715.603	29.787	0.055	0.001	1.945	0.099	0.067	0.002
60	0.668	0.022	0.299	0.009	42.200	1.488	1231837.750	86351.164	1711.224	29.161	0.051	0.002	1.695	0.100	0.062	0.003
61	0.658	0.021	0.303	0.009	41.900	1.344	1192432.750	82771.203	1739.137	23.170	0.052	0.001	1.707	0.081	0.061	0.002
62	0.662	0.022	0.307	0.009	41.995	1.383	1192918.750	84152.211	1741.289	23.905	0.052	0.001	1.723	0.086	0.064	0.002
63	0.660	0.022	0.301	0.010	41.937	1.424	1190831.000	86362.922	1735.913	22.951	0.052	0.002	1.730	0.104	0.065	0.003
64	0.664	0.022	0.309	0.009	42.060	1.423	1190863.750	84934.086	1742.625	22.789	0.053	0.001	1.822	0.109	0.065	0.002
65	0.668	0.022	0.298	0.008	42.354	1.429	1203856.000	84176.109	1735.835	21.831	0.053	0.002	1.786	0.106	0.064	0.003
66	0.664	0.022	0.306	0.008	41.999	1.419	1182729.125	83031.625	1741.217	21.380	0.053	0.002	1.764	0.088	0.064	0.002
67	0.665	0.022	0.304	0.008	42.014	1.419	1181086.250	82065.875	1740.526	21.583	0.051	0.001	1.707	0.097	0.062	0.002
68	0.666	0.022	0.308	0.007	41.849	1.435	1172416.375	82832.555	1742.959	21.559	0.051	0.001	1.704	0.106	0.063	0.002
69	0.662	0.022	0.306	0.008	41.748	1.430	1165914.125	81966.609	1742.937	21.325	0.053	0.002	1.772	0.100	0.063	0.002
70	0.676	0.021	0.303	0.010	42.564	1.435	1092289.625	111455.047	1732.230	24.443	0.053	0.001	1.740	0.090	0.065	0.002
71	0.678	0.022	0.304	0.009	42.809	1.442	1108026.750	110995.203	1733.357	24.680	0.050	0.001	1.582	0.092	0.059	0.003
72	0.668	0.021	0.303	0.009	42.494	1.442	1090324.125	107719.836	1740.115	24.626	0.052	0.001	1.764	0.101	0.064	0.002
73	0.659	0.022	0.304	0.009	41.899	1.506	1061756.375	111944.992	1729.248	26.648	0.051	0.001	1.643	0.090	0.061	0.002
74	0.664	0.023	0.307	0.010	41.992	1.532	1066281.625	113691.766	1726.332	27.385	0.052	0.002	1.735	0.113	0.064	0.002
75	0.674	0.024	0.297	0.010	42.577	1.551	1075483.250	115060.773	1715.143	29.912	0.049	0.001	1.483	0.085	0.060	0.002
76	0.683	0.025	0.289	0.011	43.608	1.576	1125830.625	117604.234	1714.170	28.705	0.050	0.002	1.592	0.119	0.060	0.002
77	0.686	0.024	0.295	0.010	43.696	1.540	1118744.500	115886.617	1721.189	27.462	0.052	0.001	1.669	0.082	0.063	0.002
78	0.700	0.024	0.295	0.011	44.243	1.559	1253625.875	88413.398	1716.109	28.053	0.054	0.002	1.768	0.102	0.066	0.003
79	0.701	0.023	0.295	0.011	44.192	1.553	1249995.250	88323.430	1713.889	27.001	0.049	0.001	1.493	0.086	0.057	0.002
80	0.693	0.023	0.293	0.011	43.798	1.543	1225607.875	87884.703	1716.845	25.723	0.053	0.002	1.733	0.119	0.065	0.003
81	0.713	0.023	0.289	0.011	44.991	1.526	1279053.000	88872.141	1710.547	27.898	0.053	0.001	1.702	0.097	0.065	0.002
82	0.707	0.023	0.293	0.011	44.440	1.516	1250258.125	89171.836	1714.639	26.532	0.051	0.002	1.612	0.123	0.060	0.003
83	0.714	0.023	0.293	0.011	44.757	1.486	1146308.000	114456.070	1716.597	26.748	0.052	0.002	1.624	0.096	0.063	0.003
84	0.711	0.022	0.296	0.010	44.589	1.427	1130042.250	113439.609	1723.699	26.595	0.052	0.001	1.579	0.086	0.062	0.002
85	0.707	0.021	0.295	0.010	44.507	1.422	1238878.750	85188.102	1726.240	26.126	0.051	0.001	1.561	0.083	0.061	0.002
86	0.701	0.020	0.309	0.009	43.456	1.346	1060229.875	108927.617	1736.154	25.590	0.047	0.001	1.378	0.088	0.055	0.002
87	0.689	0.020	0.308	0.009	43.140	1.350	1040114.500	108138.664	1744.474	25.487	0.050	0.001	1.483	0.083	0.059	0.002
88	0.684	0.020	0.308	0.008	42.949	1.332	1019046.750	105819.562	1755.416	25.039	0.048	0.001	1.374	0.096	0.057	0.002
89	0.684	0.020	0.311	0.008	43.135	1.329	1136173.500	78983.289	1764.087	24.572	0.049	0.001	1.450	0.086	0.058	0.002
90	0.680	0.019	0.317	0.008	42.950	1.307	1115681.750	77287.172	1776.285	23.862	0.050	0.002	1.508	0.095	0.059	0.002
91	0.676	0.021	0.310	0.010	42.933	1.426	1113990.000	81201.039	1758.567	26.347	0.051	0.001	1.509	0.087	0.062	0.002
92	0.687	0.023	0.302	0.011	43.333	1.505	1138992.500	85763.062	1738.786	28.470	0.051	0.001	1.466	0.082	0.059	0.002
93	0.697	0.023	0.300	0.011	44.007	1.540	1176329.500	88430.023	1737.212	27.500	0.050	0.002	1.421	0.088	0.058	0.002
94	0.700	0.023	0.301	0.011	44.205	1.494	1170628.750	85422.578	1746.038	26.822	0.049	0.001	1.407	0.088	0.058	0.002
95	0.706	0.024	0.299	0.010	44.493	1.541	1181653.375	85376.266	1736.712	26.940	0.050	0.001	1.412	0.079	0.061	0.002
96	0.703	0.023	0.301	0.010	44.263	1.526	1160476.250	83364.750	1741.637	26.434	0.050	0.001	1.419	0.079	0.061	0.002
97	0.709	0.024	0.295	0.010	44.809	1.582	1180806.125	85407.188	1734.962	29.077	0.049	0.001	1.358	0.067	0.060	0.002
98	0.700	0.022	0.304	0.010	44.145	1.498	1140579.250	80987.875	1753.677	24.688	0.050	0.001	1.435	0.077	0.062	0.002
99	0.714	0.021	0.306	0.009	45.118	1.391	1175555.375	78209.414	1763.201	24.081	0.050	0.001	1.372	0.077	0.060	0.002
100	0.707	0.021	0.306	0.009	44.706	1.397	1148867.250	77384.398	1766.237	23.765	0.049	0.001	1.342	0.083	0.058	0.002
101	0.704	0.020	0.310	0.009	44.440	1.408	1130139.875	77398.523	1771.579	22.842	0.052	0.001	1.486	0.081	0.063	0.002
102	0.699	0.020	0.316	0.009	44.079	1.436	1110685.750	77864.180	1775.226	22.501	0.052	0.001	1.497	0.088	0.064	0.002
103	0.689	0.020	0.315	0.009	43.675	1.399	1086799.625	75768.914	1788.116	21.433	0.047	0.001	1.205	0.073	0.056	0.002
104	0.691	0.020	0.313	0.009	43.458	1.367	1067016.500	73248.180	1790.925	20.855	0.050	0.001	1.395	0.089	0.061	0.002
105	0.679	0.019	0.317	0.009	42.802	1.374	1030294.375	73023.398	1785.786	20.799	0.048	0.001	1.265	0.081	0.060	0.003
106	0.675	0.020	0.320	0.008	42.407	1.359	1008182.062	71491.172	1791.663	19.622	0.047	0.002	1.268	0.097	0.057	0.003
107	0.673	0.020	0.320	0.008	42.226	1.353	996950.062	71579.523	1794.106	19.459	0.048	0.001	1.268	0.073	0.058	0.002
108	0.671	0.019	0.325	0.008	41.984	1.351	980087.438	71028.797	1801.624	19.249	0.049	0.002	1.320	0.086	0.058	0.002
109	0.659	0.020	0.327	0.008	41.105	1.368	934151.438	69432.547	1792.967	21.616	0.049	0.002	1.303	0.081	0.059	0.002
110	0.679	0.022	0.323	0.009	42.584	1.401	1009105.625	76453.430	1795.208	23.448	0.047	0.002	1.217	0.095	0.056	0.002
111	0.689	0.024	0.317	0.010	43.236	1.549	1036399.375	80003.398	1762.690	28.242	0.047	0.001	1.219	0.090	0.057	0.002
112	0.695	0.025	0.319	0.010	43.350	1.601	1036602.750	80367.336	1747.621	29.201	0.049	0.002	1.269	0.079	0.061	0.003
113	0.684	0.024	0.325	0.010	42.790	1.569	997119.812	75062.758	1758.476	26.725	0.048	0.001	1.209	0.074	0.059	0.002
114	0.688	0.023	0.322	0.010	43.136	1.576	1012839.812	77915.008	1759.874	26.024	0.048	0.001	1.236	0.085	0.058	0.002
115	0.683	0.023	0.327	0.011	42.770	1.578	992231.500	76915.219	1763.449	25.984	0.048	0.001	1.223	0.075	0.058	0.003
116	0.684	0.024	0.322	0.010	42.991	1.562	992977.500	74831.914	1764.765	25.752	0.049	0.001	1.280	0.083	0.059	0.002
117	0.693	0.024	0.324	0.010	43.118	1.602	996437.812	76834.906	1751.975	24.979	0.049	0.002	1.245	0.096	0.056	0.002
118	0.695	0.024	0.323	0.010	43.187	1.642	998721.062	77514.680	1746.249	25.585	0.047	0.002	1.160	0.078	0.056	0.002
119	0.690	0.024	0.327	0.010	43.033	1.632	988274.812	76907.023	1751.335	25.323	0.048	0.002	1.204	0.081	0.060	0.003
120	0.683	0.024	0.333	0.009	42.012	1.635	939681.750	75649.734	1750.197	25.449	0.049	0.002	1.242	0.089	0.059	0.002
121	0.678	0.022	0.327	0.009	41.672	1.582	913994.938	73919.789	1756.765	25.948	0.051	0.002	1.326	0.092	0.060	0.002
122	0.674	0.022	0.322	0.010	41.321	1.585	897962.750	74350.555	1750.121	26.101	0.047	0.002	1.188	0.118	0.057	0.003
123	0.674	0.021	0.326	0.010	41.407	1.522	892812.250	72274.117	1763.010	24.820	0.047	0.002	1.149	0.087	0.057	0.003
124	0.679	0.022	0.326	0.009	41.717	1.538	896217.188	70848.031	1757.413	24.175	0.050	0.002	1.257	0.093	0.062	0.003
125	0.677	0.023	0.324	0.008	41.730	1.541	884172.938	68146.164	1752.956	25.125	0.049	0.002	1.171	0.075	0.061	0.003
126	0.675	0.022	0.332	0.009	41.493	1.560	872338.562	68442.359	1756.144	25.844	0.048	0.002	1.137	0.092	0.059	0.003
127	0.671	0.022	0.328	0.009	41.209	1.500	857212.250	65852.352	1758.883	24.855	0.047	0.002	1.117	0.084	0.058	0.003
128	0.673	0.022	0.325	0.009	41.056	1.504	847040.562	64839.586	1749.861	25.196	0.048	0.002	1.126	0.074	0.058	0.003
129	0.675	0.022	0.326	0.008	41.224	1.513	848963.125	64635.523	1755.229	24.570	0.045	0.002	0.988	0.070	0.054	0.002
130	0.668	0.021	0.331	0.008	40.313	1.482	804879.438	61267.152	1753.198	24.661	0.046	0.002	1.065	0.077	0.059	0.003
131	0.662	0.021	0.336	0.009	40.037	1.448	788319.438	59298.398	1764.838	23.375	0.047	0.002	1.096	0.076	0.058	0.003
132	0.680	0.023	0.325	0.009	41.187	1.611	837941.812	66825.820	1737.867	24.757	0.047	0.002	1.073	0.090	0.055	0.002
133	0.679	0.023	0.325	0.010	40.472	1.645	809760.000	67185.227	1723.401	25.461	0.048	0.002	1.125	0.090	0.060	0.003
134	0.666	0.021	0.334	0.007	39.781	1.483	767710.875	56793.957	1744.562	21.364	0.046	0.002	1.011	0.071	0.056	0.003
135	0.661	0.021	0.335	0.007	39.270	1.462	744396.312	56257.637	1743.752	21.992	0.048	0.002	1.050	0.074	0.057	0.002
136	0.671	0.021	0.336	0.007	39.683	1.430	748962.500	54282.828	1745.123	21.328	0.047	0.002	1.070	0.095	0.056	0.003
137	0.668	0.021	0.344	0.008	39.506	1.426	737703.500	53992.484	1746.712	20.889	0.048	0.002	1.040	0.069	0.059	0.003
138	0.676	0.023	0.346	0.007	40.212	1.515	748722.812	53309.012	1743.867	21.400	0.047	0.002	1.003	0.074	0.055	0.003
139	0.666	0.022	0.349	0.007	39.575	1.461	723248.812	51797.547	1752.190	21.903	0.047	0.002	1.033	0.081	0.057	0.003
140	0.661	0.021	0.349	0.007	39.349	1.403	707917.375	50016.266	1760.877	22.291	0.046	0.002	0.971	0.079	0.056	0.002
141	0.659	0.020	0.351	0.007	39.331	1.354	697857.375	48526.453	1772.716	20.352	0.046	0.002	0.921	0.060	0.055	0.003
142	0.671	0.021	0.349	0.008	39.688	1.431	710047.375	51414.215	1765.139	21.797	0.046	0.002	0.974	0.086	0.052	0.003
143	0.677	0.023	0.349	0.009	40.041	1.500	724329.438	55385.602	1760.848	23.036	0.051	0.002	1.138	0.093	0.065	0.004
144	0.676	0.022	0.355	0.010	39.792	1.473	713252.812	54979.934	1768.080	22.971	0.045	0.002	0.910	0.071	0.054	0.003
145	0.672	0.022	0.355	0.009	39.468	1.490	704151.438	55177.938	1759.566	22.928	0.047	0.002	0.980	0.075	0.058	0.003
146	0.684	0.021	0.361	0.009	40.328	1.395	716707.750	52685.121	1783.186	21.604	0.045	0.002	0.895	0.070	0.055	0.003
147	0.682	0.022	0.364	0.009	40.049	1.385	701204.375	50992.508	1790.619	22.399	0.047	0.001	0.955	0.069	0.058	0.002
148	0.689	0.024	0.360	0.010	40.688	1.497	710583.500	51197.699	1781.325	26.442	0.047	0.002	0.972	0.069	0.059	0.003
149	0.702	0.025	0.367	0.010	41.490	1.539	733448.562	52220.867	1772.896	27.628	0.050	0.002	1.070	0.075	0.063	0.003
150	0.717	0.027	0.369	0.012	42.310	1.685	770298.750	62315.371	1751.682	32.284	0.049	0.002	1.039	0.083	0.060	0.003
151	0.706	0.027	0.363	0.012	41.638	1.624	741502.875	59077.410	1754.360	30.594	0.047	0.002	0.925	0.066	0.055	0.002
152	0.699	0.025	0.366	0.012	41.155	1.593	720047.500	57843.090	1762.006	29.755	0.048	0.002	0.989	0.075	0.058	0.003
153	0.708	0.028	0.352	0.013	41.961	1.766	749586.812	60723.770	1728.926	35.087	0.046	0.002	0.928	0.082	0.055	0.003
154	0.712	0.028	0.355	0.014	42.025	1.807	750390.625	62331.195	1718.564	34.596	0.047	0.002	0.925	0.078	0.055	0.003
155	0.712	0.028	0.345	0.013	42.255	1.806	752592.062	61636.469	1714.370	34.300	0.046	0.002	0.924	0.087	0.058	0.003
156	0.705	0.029	0.351	0.013	41.673	1.835	732942.312	61442.457	1714.222	34.366	0.045	0.002	0.914	0.097	0.055	0.003
157	0.709	0.028	0.342	0.013	41.895	1.807	728781.125	60339.340	1712.482	33.700	0.049	0.002	0.993	0.078	0.061	0.004
158	0.734	0.030	0.338	0.013	43.665	1.792	766222.938	58704.137	1714.603	34.466	0.048	0.002	0.942	0.073	0.059	0.003
159	0.733	0.029	0.338	0.014	43.701	1.792	770984.938	59714.609	1716.957	34.780	0.047	0.002	0.864	0.059	0.055	0.002
160	0.728	0.028	0.344	0.014	42.838	1.781	741487.500	59238.734	1713.462	34.305	0.049	0.002	0.974	0.080	0.060	0.003
161	0.717	0.027	0.349	0.013	42.258	1.734	720970.000	58848.645	1724.595	32.913	0.044	0.002	0.793	0.070	0.052	0.003
162	0.710	0.027	0.354	0.013	41.780	1.687	700897.750	57179.707	1736.291	32.213	0.046	0.002	0.864	0.086	0.056	0.003
163	0.717	0.028	0.354	0.013	42.059	1.706	705241.750	57491.121	1719.953	31.760	0.046	0.002	0.834	0.076	0.054	0.003
164	0.715	0.027	0.360	0.013	41.866	1.680	693372.875	56331.887	1726.197	31.062	0.047	0.002	0.911	0.094	0.057	0.003
165	0.706	0.027	0.360	0.012	41.299	1.647	670681.625	54830.867	1736.506	30.526	0.047	0.002	0.860	0.070	0.058	0.003
166	0.705	0.027	0.365	0.012	41.141	1.634	658281.375	53651.375	1738.468	29.795	0.049	0.002	0.930	0.076	0.060	0.003
167	0.704	0.026	0.371	0.011	40.463	1.755	644695.062	54813.668	1721.311	35.352	0.046	0.002	0.806	0.059	0.058	0.003
168	0.715	0.026	0.370	0.013	41.040	1.746	670466.438	61535.137	1724.621	36.012	0.046	0.002	0.805	0.072	0.057	0.003
169	0.714	0.026	0.369	0.012	41.058	1.754	668476.625	61144.145	1721.260	35.358	0.046	0.002	0.845	0.075	0.056	0.003
170	0.713	0.026	0.371	0.012	40.403	1.694	646254.250	59374.250	1727.660	34.418	0.043	0.002	0.728	0.067	0.052	0.003
171	0.698	0.026	0.368	0.012	39.701	1.724	628776.938	59513.035	1721.297	34.690	0.045	0.002	0.786	0.087	0.055	0.003
172	0.701	0.024	0.377	0.012	39.746	1.697	622163.000	58322.016	1728.708	35.270	0.045	0.002	0.800	0.085	0.057	0.003
173	0.720	0.026	0.371	0.012	41.384	1.729	647345.500	57932.148	1722.148	30.809	0.045	0.002	0.755	0.073	0.054	0.003
174	0.727	0.028	0.372	0.014	41.514	1.761	640573.500	56250.516	1714.495	31.845	0.048	0.002	0.848	0.082	0.056	0.003
175	0.727	0.028	0.382	0.014	41.136	1.725	622981.500	55227.102	1724.371	30.951	0.046	0.002	0.797	0.063	0.055	0.003
176	0.722	0.029	0.390	0.014	41.094	1.703	618876.188	54755.496	1742.889	29.110	0.046	0.002	0.768	0.071	0.054	0.003
177	0.718	0.029	0.391	0.014	40.176	1.682	588384.000	53462.555	1742.467	29.139	0.045	0.002	0.747	0.068	0.058	0.003
178	0.728	0.028	0.384	0.014	41.394	1.688	610647.250	52032.824	1748.481	29.140	0.043	0.002	0.668	0.062	0.053	0.003
179	0.719	0.026	0.375	0.014	41.210	1.684	601623.188	51791.340	1754.591	29.719	0.047	0.002	0.771	0.066	0.055	0.003
180	0.722	0.026	0.373	0.013	41.121	1.676	586352.500	46759.695	1750.492	30.375	0.047	0.002	0.747	0.069	0.056	0.002
181	0.733	0.026	0.386	0.014	41.208	1.628	584090.500	46794.453	1754.860	31.763	0.050	0.002	0.881	0.084	0.060	0.003
182	0.732	0.026	0.396	0.013	40.832	1.631	574398.750	47184.812	1754.543	32.322	0.042	0.002	0.628	0.057	0.051	0.003
183	0.728	0.026	0.391	0.015	40.478	1.625	563250.562	46415.645	1753.930	32.795	0.046	0.002	0.749	0.071	0.056	0.003
184	0.725	0.025	0.394	0.014	40.320	1.597	553171.062	45200.625	1753.455	34.142	0.043	0.002	0.662	0.067	0.051	0.003
185	0.726	0.025	0.410	0.015	39.612	1.564	529254.688	43670.016	1751.217	34.364	0.045	0.002	0.694	0.072	0.057	0.003
186	0.725	0.026	0.396	0.016	40.099	1.643	542558.375	47513.586	1739.529	36.608	0.043	0.002	0.633	0.068	0.050	0.003
187	0.719	0.026	0.403	0.016	39.318	1.668	523119.906	47147.008	1727.157	37.414	0.043	0.002	0.643	0.061	0.052	0.004
188	0.714	0.026	0.397	0.015	38.843	1.681	508536.969	46980.859	1720.489	37.557	0.044	0.002	0.621	0.052	0.053	0.003
189	0.735	0.024	0.407	0.017	40.485	1.489	527971.500	44865.191	1761.356	27.499	0.045	0.002	0.679	0.077	0.051	0.003
190	0.733	0.022	0.407	0.017	40.569	1.530	533666.312	50612.402	1757.935	27.318	0.045	0.002	0.680	0.067	0.054	0.003
191	0.735	0.024	0.405	0.017	40.869	1.574	540660.688	51670.336	1753.064	27.892	0.043	0.003	0.639	0.077	0.055	0.005
192	0.726	0.024	0.401	0.018	40.399	1.632	532695.875	52863.098	1748.182	29.370	0.041	0.002	0.551	0.058	0.050	0.003
193	0.735	0.025	0.392	0.018	40.744	1.619	537997.438	53116.766	1753.635	29.374	0.042	0.002	0.579	0.058	0.053	0.003
