Mating System: Maternal Dominant Sporophytic Self Incompatibility, with Distance-Dependent Pollination

Runs=100, Generations=500, Initial PopSize=250, Safe Sites=0.250, First Reproduction=2
Maximum Per-Capita Ovule Production=100.000, Seed Establishment=0.050, Deathrate=0.050
Pollen Dispersal Range=142, Seed Dispersal Range=50, SI Alleles=10, Neutral Alleles=3

GEN	NRUN	NGENE	ERR1	SGENE	ERR2	NVAR	ERR3	SVAR	ERR4	HO	ERR5	HE	ERR6	FIS	ERR7
20	100	2.928	0.026	9.340	0.061	-0.033	0.002	-0.005	0.000	0.476	0.002	0.634	0.003	0.249	0.003
21	100	2.944	0.029	9.350	0.059	-0.033	0.002	-0.005	0.000	0.474	0.002	0.632	0.003	0.248	0.003
22	100	2.952	0.030	9.350	0.059	-0.031	0.002	-0.005	0.000	0.472	0.002	0.629	0.003	0.249	0.003
23	100	2.978	0.033	9.390	0.060	-0.029	0.003	-0.005	0.000	0.470	0.002	0.627	0.003	0.249	0.003
24	100	3.050	0.042	9.550	0.074	-0.024	0.003	-0.005	0.000	0.468	0.002	0.625	0.003	0.250	0.003
25	100	3.080	0.047	9.580	0.074	-0.022	0.003	-0.005	0.000	0.467	0.002	0.623	0.003	0.249	0.003
26	100	3.126	0.048	9.690	0.085	-0.018	0.003	-0.005	0.000	0.466	0.002	0.620	0.003	0.248	0.003
27	100	3.200	0.054	9.850	0.100	-0.013	0.003	-0.004	0.000	0.464	0.002	0.618	0.003	0.248	0.003
28	100	3.272	0.056	10.010	0.108	-0.010	0.003	-0.004	0.000	0.462	0.002	0.616	0.003	0.249	0.004
29	100	3.340	0.061	10.160	0.111	-0.006	0.003	-0.004	0.000	0.460	0.002	0.614	0.003	0.250	0.004
30	100	3.404	0.062	10.300	0.114	-0.001	0.004	-0.004	0.000	0.458	0.003	0.612	0.003	0.250	0.004
31	100	3.420	0.061	10.430	0.119	-0.000	0.003	-0.004	0.000	0.457	0.003	0.610	0.004	0.251	0.004
32	100	3.526	0.064	10.640	0.134	0.003	0.003	-0.004	0.000	0.454	0.003	0.608	0.004	0.252	0.004
33	100	3.624	0.063	10.790	0.142	0.007	0.003	-0.004	0.000	0.452	0.003	0.606	0.004	0.254	0.004
34	100	3.690	0.065	10.860	0.148	0.009	0.003	-0.004	0.000	0.450	0.003	0.604	0.004	0.254	0.004
35	100	3.808	0.068	11.120	0.150	0.013	0.003	-0.003	0.000	0.448	0.003	0.603	0.004	0.255	0.004
36	100	3.942	0.075	11.410	0.156	0.018	0.003	-0.003	0.000	0.446	0.003	0.601	0.004	0.256	0.004
37	100	4.052	0.078	11.450	0.156	0.020	0.003	-0.003	0.000	0.444	0.003	0.598	0.004	0.257	0.005
38	100	4.094	0.081	11.620	0.170	0.022	0.003	-0.003	0.000	0.441	0.003	0.596	0.004	0.259	0.005
39	100	4.192	0.081	11.920	0.168	0.023	0.003	-0.003	0.000	0.438	0.003	0.594	0.004	0.260	0.005
40	100	4.290	0.089	12.180	0.184	0.022	0.003	-0.003	0.000	0.436	0.003	0.592	0.004	0.262	0.005
41	100	4.370	0.091	12.230	0.187	0.022	0.003	-0.003	0.000	0.433	0.003	0.590	0.004	0.264	0.005
42	100	4.504	0.092	12.280	0.190	0.024	0.003	-0.003	0.000	0.431	0.003	0.588	0.004	0.265	0.005
43	100	4.534	0.092	12.380	0.192	0.025	0.003	-0.003	0.000	0.429	0.003	0.586	0.004	0.267	0.005
44	100	4.584	0.095	12.590	0.196	0.026	0.003	-0.003	0.000	0.426	0.003	0.584	0.004	0.268	0.005
45	100	4.670	0.092	12.740	0.201	0.028	0.003	-0.003	0.000	0.424	0.003	0.581	0.004	0.270	0.005
46	100	4.684	0.093	12.880	0.204	0.030	0.003	-0.003	0.000	0.421	0.003	0.579	0.004	0.271	0.005
47	100	4.808	0.099	13.090	0.212	0.030	0.003	-0.003	0.000	0.419	0.004	0.577	0.004	0.273	0.005
48	100	4.962	0.102	13.180	0.220	0.033	0.003	-0.003	0.000	0.416	0.004	0.574	0.004	0.273	0.005
49	100	5.042	0.097	13.340	0.215	0.034	0.003	-0.003	0.000	0.414	0.004	0.572	0.005	0.275	0.005
50	100	5.120	0.098	13.480	0.203	0.038	0.002	-0.003	0.000	0.412	0.004	0.570	0.005	0.276	0.005
51	100	5.140	0.097	13.560	0.208	0.039	0.002	-0.003	0.000	0.409	0.004	0.567	0.005	0.277	0.005
52	100	5.232	0.097	13.640	0.204	0.038	0.002	-0.003	0.000	0.407	0.004	0.565	0.005	0.278	0.006
53	100	5.290	0.101	13.670	0.200	0.039	0.002	-0.003	0.000	0.405	0.004	0.563	0.005	0.278	0.006
54	100	5.382	0.101	13.820	0.203	0.039	0.003	-0.003	0.000	0.403	0.004	0.561	0.005	0.280	0.006
55	100	5.376	0.098	13.800	0.189	0.040	0.003	-0.003	0.000	0.401	0.004	0.558	0.005	0.281	0.006
56	100	5.478	0.097	13.800	0.185	0.042	0.002	-0.003	0.000	0.398	0.004	0.556	0.005	0.283	0.006
57	100	5.568	0.100	13.890	0.199	0.041	0.003	-0.003	0.000	0.395	0.004	0.553	0.005	0.284	0.005
58	100	5.564	0.101	13.920	0.212	0.043	0.002	-0.003	0.000	0.393	0.004	0.551	0.005	0.286	0.005
59	100	5.574	0.103	14.000	0.211	0.042	0.002	-0.003	0.000	0.391	0.004	0.549	0.005	0.287	0.006
60	100	5.628	0.102	14.140	0.224	0.044	0.002	-0.003	0.000	0.389	0.004	0.547	0.005	0.287	0.006
61	100	5.714	0.103	14.270	0.229	0.045	0.002	-0.003	0.000	0.387	0.004	0.544	0.005	0.289	0.006
62	100	5.768	0.099	14.210	0.222	0.045	0.002	-0.003	0.000	0.384	0.004	0.542	0.005	0.290	0.006
63	100	5.760	0.103	14.300	0.213	0.046	0.002	-0.003	0.000	0.381	0.004	0.539	0.005	0.292	0.006
64	100	5.820	0.106	14.510	0.219	0.047	0.002	-0.003	0.000	0.379	0.004	0.537	0.005	0.293	0.006
65	100	5.824	0.104	14.450	0.219	0.047	0.002	-0.003	0.000	0.377	0.004	0.535	0.005	0.295	0.006
66	100	5.824	0.104	14.620	0.215	0.049	0.002	-0.003	0.000	0.375	0.004	0.533	0.005	0.296	0.006
67	100	5.866	0.099	14.750	0.216	0.051	0.002	-0.003	0.000	0.372	0.004	0.531	0.005	0.297	0.006
68	100	5.902	0.102	14.930	0.232	0.052	0.002	-0.003	0.000	0.370	0.004	0.529	0.005	0.299	0.006
69	100	5.950	0.100	14.920	0.241	0.052	0.002	-0.003	0.000	0.367	0.004	0.526	0.006	0.301	0.006
70	100	5.992	0.097	14.980	0.238	0.051	0.002	-0.003	0.000	0.365	0.005	0.524	0.006	0.302	0.006
71	100	6.012	0.099	15.050	0.235	0.052	0.002	-0.003	0.000	0.363	0.005	0.522	0.006	0.304	0.006
72	100	5.996	0.102	15.110	0.249	0.053	0.002	-0.003	0.000	0.360	0.005	0.519	0.006	0.305	0.006
73	100	6.070	0.097	15.240	0.251	0.052	0.002	-0.003	0.000	0.358	0.005	0.517	0.006	0.306	0.006
74	100	6.088	0.102	15.300	0.239	0.053	0.002	-0.003	0.000	0.357	0.005	0.515	0.006	0.307	0.006
75	100	6.086	0.106	15.200	0.251	0.052	0.002	-0.003	0.000	0.354	0.005	0.513	0.006	0.309	0.006
76	100	6.158	0.112	15.210	0.246	0.053	0.002	-0.003	0.000	0.351	0.005	0.511	0.006	0.311	0.006
77	100	6.158	0.108	15.210	0.249	0.053	0.002	-0.003	0.000	0.350	0.005	0.508	0.006	0.312	0.006
78	100	6.174	0.107	15.310	0.255	0.054	0.002	-0.003	0.000	0.348	0.005	0.506	0.006	0.313	0.007
79	100	6.180	0.111	15.400	0.249	0.054	0.002	-0.003	0.000	0.346	0.005	0.505	0.006	0.314	0.007
80	100	6.128	0.113	15.430	0.268	0.056	0.002	-0.003	0.000	0.344	0.005	0.503	0.006	0.315	0.007
81	100	6.120	0.106	15.410	0.250	0.057	0.002	-0.003	0.000	0.342	0.005	0.501	0.006	0.317	0.007
82	100	6.118	0.112	15.420	0.272	0.057	0.002	-0.003	0.000	0.340	0.005	0.499	0.006	0.319	0.007
83	100	6.154	0.113	15.380	0.270	0.057	0.002	-0.003	0.000	0.338	0.005	0.498	0.006	0.320	0.007
84	100	6.136	0.113	15.450	0.264	0.057	0.003	-0.003	0.000	0.336	0.006	0.496	0.006	0.322	0.007
85	100	6.060	0.113	15.400	0.274	0.058	0.002	-0.003	0.000	0.335	0.006	0.495	0.007	0.324	0.007
86	100	6.138	0.116	15.430	0.291	0.058	0.002	-0.003	0.000	0.333	0.006	0.494	0.007	0.326	0.007
87	100	6.166	0.119	15.530	0.298	0.058	0.002	-0.003	0.000	0.331	0.006	0.492	0.007	0.328	0.007
88	100	6.162	0.122	15.510	0.306	0.060	0.002	-0.003	0.000	0.330	0.006	0.491	0.007	0.329	0.007
89	100	6.176	0.122	15.310	0.300	0.060	0.002	-0.003	0.000	0.328	0.006	0.489	0.007	0.331	0.007
90	100	6.152	0.120	15.080	0.261	0.059	0.003	-0.003	0.000	0.326	0.006	0.488	0.007	0.332	0.007
91	100	6.136	0.120	15.110	0.260	0.057	0.003	-0.003	0.000	0.324	0.006	0.486	0.007	0.335	0.007
92	100	6.058	0.115	14.990	0.260	0.059	0.003	-0.003	0.000	0.322	0.006	0.484	0.007	0.336	0.007
93	100	6.052	0.120	14.990	0.263	0.061	0.002	-0.003	0.000	0.320	0.006	0.482	0.007	0.338	0.007
94	100	5.964	0.126	14.950	0.260	0.062	0.003	-0.003	0.000	0.317	0.006	0.480	0.007	0.341	0.007
95	100	6.024	0.128	15.110	0.257	0.063	0.003	-0.003	0.000	0.316	0.006	0.479	0.007	0.342	0.007
96	100	6.102	0.123	15.130	0.245	0.063	0.003	-0.003	0.000	0.314	0.006	0.478	0.007	0.343	0.007
97	100	6.104	0.128	14.980	0.232	0.062	0.003	-0.003	0.000	0.313	0.006	0.476	0.007	0.345	0.007
98	100	6.092	0.137	15.170	0.242	0.062	0.003	-0.003	0.000	0.310	0.006	0.474	0.007	0.348	0.007
99	100	6.040	0.141	15.210	0.242	0.064	0.003	-0.003	0.000	0.308	0.006	0.473	0.007	0.350	0.007
100	100	6.082	0.142	15.300	0.258	0.064	0.003	-0.003	0.000	0.307	0.006	0.471	0.007	0.351	0.007
101	100	6.078	0.140	15.320	0.269	0.065	0.002	-0.003	0.000	0.305	0.006	0.469	0.008	0.353	0.007
102	100	6.036	0.136	15.430	0.282	0.066	0.002	-0.003	0.000	0.304	0.007	0.468	0.008	0.354	0.008
103	100	6.006	0.135	15.350	0.276	0.066	0.002	-0.003	0.000	0.302	0.007	0.467	0.008	0.355	0.008
104	100	5.978	0.131	15.200	0.273	0.067	0.002	-0.003	0.000	0.301	0.007	0.465	0.008	0.356	0.008
105	100	6.004	0.134	15.330	0.263	0.066	0.002	-0.003	0.000	0.299	0.007	0.463	0.008	0.357	0.007
106	100	5.958	0.130	15.240	0.271	0.066	0.003	-0.003	0.000	0.298	0.007	0.462	0.008	0.359	0.007
107	100	5.890	0.139	15.120	0.278	0.066	0.003	-0.003	0.000	0.296	0.007	0.460	0.008	0.360	0.008
108	100	5.880	0.136	15.170	0.293	0.066	0.003	-0.003	0.000	0.295	0.007	0.459	0.008	0.362	0.008
109	100	5.864	0.137	15.170	0.285	0.066	0.003	-0.003	0.000	0.293	0.007	0.457	0.008	0.363	0.008
110	100	5.832	0.134	15.040	0.294	0.065	0.003	-0.004	0.000	0.291	0.007	0.456	0.008	0.365	0.008
111	100	5.782	0.131	14.970	0.294	0.066	0.003	-0.004	0.000	0.289	0.007	0.453	0.008	0.367	0.008
112	100	5.774	0.127	15.070	0.277	0.067	0.003	-0.003	0.000	0.288	0.007	0.452	0.008	0.369	0.008
113	100	5.764	0.127	14.970	0.261	0.067	0.003	-0.004	0.000	0.285	0.007	0.451	0.008	0.371	0.008
114	100	5.726	0.128	14.920	0.270	0.069	0.003	-0.004	0.000	0.284	0.007	0.449	0.008	0.373	0.008
115	100	5.704	0.127	14.850	0.263	0.070	0.003	-0.004	0.000	0.283	0.007	0.448	0.008	0.375	0.008
116	100	5.690	0.120	14.780	0.256	0.072	0.002	-0.004	0.000	0.282	0.007	0.447	0.008	0.376	0.008
117	100	5.708	0.120	14.740	0.251	0.072	0.002	-0.004	0.000	0.280	0.007	0.446	0.008	0.377	0.008
118	100	5.634	0.119	14.710	0.249	0.074	0.003	-0.004	0.000	0.279	0.007	0.444	0.008	0.378	0.008
119	100	5.620	0.119	14.570	0.254	0.074	0.003	-0.004	0.000	0.278	0.007	0.443	0.008	0.379	0.008
120	100	5.584	0.125	14.540	0.258	0.074	0.003	-0.004	0.000	0.276	0.007	0.442	0.008	0.381	0.008
121	100	5.582	0.123	14.560	0.270	0.074	0.003	-0.004	0.000	0.275	0.007	0.441	0.008	0.383	0.008
122	100	5.594	0.126	14.540	0.280	0.074	0.003	-0.004	0.000	0.274	0.007	0.440	0.008	0.384	0.008
123	100	5.558	0.130	14.560	0.273	0.075	0.003	-0.004	0.000	0.273	0.007	0.439	0.008	0.385	0.008
124	100	5.596	0.129	14.580	0.255	0.075	0.003	-0.004	0.000	0.273	0.007	0.439	0.008	0.385	0.008
125	100	5.536	0.122	14.450	0.242	0.074	0.003	-0.004	0.000	0.272	0.007	0.439	0.008	0.386	0.008
126	100	5.472	0.119	14.330	0.238	0.074	0.003	-0.004	0.000	0.271	0.007	0.438	0.008	0.386	0.008
127	100	5.438	0.114	14.410	0.255	0.075	0.003	-0.004	0.000	0.270	0.007	0.437	0.008	0.388	0.008
128	100	5.444	0.114	14.220	0.263	0.076	0.003	-0.004	0.000	0.269	0.007	0.437	0.008	0.390	0.008
129	100	5.438	0.110	14.070	0.263	0.076	0.003	-0.004	0.000	0.269	0.007	0.436	0.008	0.390	0.008
130	100	5.464	0.108	13.990	0.260	0.076	0.003	-0.004	0.000	0.268	0.007	0.435	0.008	0.392	0.008
131	100	5.470	0.110	13.990	0.271	0.077	0.003	-0.004	0.000	0.267	0.007	0.435	0.008	0.392	0.008
132	100	5.486	0.112	13.850	0.288	0.078	0.003	-0.004	0.000	0.267	0.007	0.434	0.008	0.393	0.008
133	100	5.504	0.119	13.730	0.284	0.077	0.003	-0.005	0.000	0.266	0.007	0.433	0.008	0.394	0.008
134	100	5.488	0.121	13.680	0.269	0.077	0.003	-0.005	0.000	0.265	0.007	0.432	0.008	0.395	0.008
135	100	5.494	0.124	13.550	0.263	0.076	0.003	-0.005	0.000	0.263	0.007	0.431	0.008	0.397	0.008
136	100	5.492	0.129	13.510	0.277	0.075	0.003	-0.005	0.000	0.263	0.007	0.431	0.008	0.398	0.008
137	100	5.484	0.128	13.440	0.275	0.076	0.003	-0.005	0.000	0.262	0.007	0.430	0.008	0.399	0.008
138	100	5.458	0.130	13.300	0.281	0.076	0.003	-0.005	0.000	0.261	0.007	0.429	0.008	0.400	0.009
139	100	5.406	0.125	13.140	0.278	0.074	0.003	-0.005	0.000	0.259	0.007	0.428	0.008	0.402	0.009
140	100	5.380	0.127	13.040	0.286	0.075	0.003	-0.005	0.000	0.258	0.007	0.427	0.008	0.403	0.009
141	100	5.372	0.124	12.870	0.299	0.076	0.003	-0.006	0.000	0.257	0.007	0.425	0.008	0.404	0.009
142	100	5.290	0.127	12.860	0.303	0.076	0.003	-0.006	0.000	0.256	0.007	0.424	0.008	0.407	0.009
143	100	5.206	0.127	12.780	0.310	0.076	0.003	-0.006	0.000	0.254	0.007	0.423	0.008	0.408	0.009
144	100	5.114	0.129	12.690	0.303	0.076	0.003	-0.006	0.000	0.254	0.008	0.422	0.008	0.408	0.009
145	100	5.098	0.134	12.570	0.297	0.077	0.003	-0.006	0.000	0.253	0.008	0.421	0.008	0.409	0.009
146	100	5.042	0.131	12.460	0.295	0.076	0.003	-0.006	0.000	0.252	0.008	0.420	0.008	0.410	0.009
147	100	5.020	0.124	12.270	0.296	0.077	0.003	-0.007	0.000	0.252	0.008	0.419	0.008	0.410	0.010
148	100	5.060	0.119	12.270	0.288	0.079	0.003	-0.007	0.000	0.251	0.008	0.418	0.008	0.411	0.010
149	100	5.044	0.115	12.250	0.269	0.080	0.003	-0.006	0.000	0.250	0.008	0.417	0.008	0.412	0.010
150	100	4.994	0.108	12.220	0.264	0.083	0.003	-0.006	0.000	0.249	0.008	0.416	0.008	0.413	0.010
151	100	4.964	0.111	12.120	0.268	0.081	0.003	-0.007	0.000	0.248	0.008	0.415	0.008	0.414	0.010
152	100	4.962	0.116	12.190	0.272	0.081	0.003	-0.007	0.000	0.247	0.008	0.415	0.008	0.415	0.010
153	100	4.950	0.113	12.060	0.268	0.081	0.003	-0.007	0.000	0.247	0.008	0.414	0.008	0.415	0.010
154	100	4.906	0.112	11.970	0.261	0.080	0.003	-0.007	0.000	0.246	0.008	0.413	0.008	0.417	0.010
155	100	4.880	0.115	11.960	0.269	0.081	0.003	-0.007	0.000	0.245	0.008	0.412	0.008	0.417	0.010
156	100	4.840	0.114	11.910	0.265	0.081	0.003	-0.007	0.000	0.243	0.008	0.411	0.008	0.419	0.010
157	100	4.820	0.112	11.800	0.256	0.083	0.003	-0.007	0.000	0.242	0.008	0.410	0.008	0.421	0.010
158	100	4.796	0.110	11.860	0.258	0.084	0.003	-0.007	0.000	0.241	0.008	0.409	0.008	0.423	0.010
159	100	4.776	0.111	11.720	0.245	0.083	0.003	-0.007	0.000	0.240	0.008	0.408	0.008	0.423	0.010
160	100	4.758	0.112	11.620	0.252	0.083	0.003	-0.007	0.000	0.239	0.008	0.407	0.008	0.423	0.011
161	100	4.736	0.111	11.480	0.238	0.085	0.003	-0.007	0.000	0.238	0.008	0.406	0.008	0.425	0.011
162	100	4.724	0.112	11.460	0.247	0.084	0.003	-0.007	0.000	0.238	0.008	0.405	0.008	0.426	0.011
163	100	4.674	0.113	11.400	0.238	0.082	0.003	-0.008	0.000	0.237	0.008	0.405	0.008	0.427	0.011
164	100	4.686	0.112	11.360	0.238	0.083	0.003	-0.008	0.000	0.236	0.008	0.404	0.008	0.428	0.011
165	100	4.668	0.113	11.360	0.244	0.082	0.004	-0.008	0.000	0.235	0.008	0.403	0.008	0.430	0.011
166	100	4.634	0.108	11.280	0.257	0.085	0.003	-0.008	0.001	0.234	0.008	0.402	0.008	0.431	0.011
167	100	4.610	0.106	11.190	0.256	0.084	0.003	-0.008	0.001	0.234	0.008	0.402	0.008	0.431	0.011
168	100	4.626	0.104	11.210	0.266	0.084	0.003	-0.008	0.001	0.234	0.008	0.402	0.008	0.432	0.011
169	100	4.654	0.101	11.140	0.267	0.084	0.003	-0.008	0.001	0.233	0.008	0.401	0.008	0.433	0.011
170	100	4.662	0.102	11.150	0.280	0.083	0.003	-0.008	0.001	0.233	0.008	0.401	0.008	0.433	0.012
171	100	4.568	0.100	11.010	0.286	0.084	0.004	-0.009	0.001	0.233	0.008	0.401	0.008	0.433	0.012
172	100	4.588	0.096	10.960	0.270	0.084	0.004	-0.009	0.001	0.232	0.008	0.400	0.008	0.434	0.012
173	100	4.564	0.095	10.850	0.272	0.083	0.004	-0.009	0.001	0.232	0.008	0.400	0.008	0.434	0.012
174	100	4.538	0.097	10.900	0.277	0.083	0.004	-0.009	0.001	0.231	0.008	0.399	0.008	0.435	0.012
175	100	4.516	0.102	10.850	0.279	0.082	0.004	-0.009	0.001	0.231	0.008	0.399	0.008	0.436	0.012
176	100	4.458	0.099	10.890	0.284	0.084	0.004	-0.010	0.001	0.231	0.008	0.399	0.008	0.436	0.012
177	100	4.456	0.098	10.870	0.275	0.084	0.004	-0.009	0.001	0.231	0.008	0.399	0.008	0.436	0.012
178	100	4.450	0.097	10.890	0.276	0.086	0.004	-0.009	0.001	0.231	0.008	0.399	0.008	0.436	0.012
179	100	4.426	0.102	10.920	0.287	0.086	0.005	-0.010	0.001	0.231	0.008	0.399	0.008	0.436	0.013
180	100	4.404	0.098	10.900	0.281	0.087	0.005	-0.009	0.001	0.230	0.008	0.398	0.008	0.438	0.012
181	100	4.374	0.101	10.730	0.282	0.087	0.005	-0.010	0.001	0.230	0.008	0.397	0.008	0.437	0.013
182	100	4.342	0.102	10.640	0.277	0.086	0.004	-0.010	0.001	0.229	0.008	0.397	0.008	0.439	0.013
183	100	4.296	0.102	10.520	0.283	0.086	0.004	-0.010	0.001	0.228	0.008	0.396	0.008	0.441	0.013
184	100	4.272	0.108	10.390	0.290	0.087	0.004	-0.010	0.001	0.227	0.009	0.396	0.008	0.442	0.013
185	100	4.266	0.110	10.380	0.287	0.085	0.004	-0.010	0.001	0.227	0.009	0.395	0.008	0.443	0.013
186	100	4.252	0.107	10.250	0.275	0.086	0.004	-0.011	0.001	0.227	0.009	0.395	0.008	0.443	0.013
187	100	4.246	0.111	10.160	0.269	0.086	0.004	-0.011	0.001	0.226	0.009	0.395	0.008	0.444	0.013
188	100	4.242	0.110	10.140	0.269	0.084	0.004	-0.011	0.001	0.225	0.008	0.395	0.008	0.446	0.013
189	100	4.240	0.113	10.100	0.271	0.086	0.004	-0.011	0.001	0.225	0.008	0.394	0.008	0.447	0.013
190	100	4.196	0.106	10.070	0.276	0.088	0.004	-0.012	0.001	0.224	0.008	0.394	0.008	0.449	0.013
191	100	4.220	0.107	10.010	0.272	0.086	0.004	-0.012	0.001	0.223	0.008	0.394	0.008	0.450	0.013
192	100	4.158	0.102	9.880	0.269	0.085	0.004	-0.012	0.001	0.223	0.008	0.393	0.008	0.451	0.013
193	100	4.152	0.105	9.800	0.270	0.085	0.005	-0.013	0.001	0.221	0.008	0.392	0.008	0.453	0.013
194	100	4.114	0.103	9.620	0.262	0.087	0.005	-0.013	0.001	0.220	0.008	0.391	0.008	0.455	0.013
195	100	4.140	0.100	9.660	0.259	0.090	0.004	-0.013	0.001	0.219	0.008	0.391	0.008	0.456	0.013
196	100	4.122	0.098	9.590	0.262	0.091	0.004	-0.013	0.001	0.218	0.008	0.390	0.008	0.457	0.013
197	100	4.052	0.094	9.480	0.263	0.089	0.005	-0.013	0.001	0.217	0.008	0.389	0.008	0.458	0.013
198	100	3.998	0.090	9.460	0.265	0.092	0.005	-0.013	0.001	0.216	0.008	0.388	0.008	0.460	0.013
199	100	3.994	0.087	9.530	0.265	0.091	0.005	-0.013	0.001	0.215	0.008	0.387	0.008	0.461	0.013
200	100	4.000	0.085	9.630	0.275	0.095	0.005	-0.013	0.001	0.214	0.008	0.387	0.008	0.463	0.013
201	100	4.002	0.086	9.540	0.268	0.094	0.005	-0.014	0.001	0.213	0.008	0.386	0.008	0.465	0.013
202	100	4.000	0.086	9.490	0.268	0.096	0.005	-0.014	0.001	0.212	0.008	0.385	0.008	0.465	0.013
203	100	3.974	0.090	9.360	0.274	0.096	0.005	-0.015	0.002	0.212	0.008	0.384	0.008	0.466	0.012
204	100	3.922	0.088	9.320	0.271	0.096	0.005	-0.015	0.002	0.211	0.008	0.384	0.008	0.468	0.012
205	100	3.902	0.084	9.200	0.255	0.094	0.005	-0.015	0.002	0.210	0.008	0.383	0.008	0.469	0.012
206	100	3.878	0.085	9.070	0.247	0.092	0.005	-0.015	0.002	0.209	0.008	0.382	0.008	0.470	0.012
207	100	3.864	0.083	9.090	0.247	0.093	0.005	-0.015	0.002	0.209	0.008	0.382	0.008	0.470	0.012
208	100	3.914	0.085	9.060	0.248	0.093	0.005	-0.015	0.002	0.208	0.008	0.382	0.008	0.472	0.012
209	100	3.892	0.089	8.940	0.250	0.091	0.005	-0.016	0.002	0.208	0.008	0.381	0.008	0.472	0.012
210	100	3.824	0.085	8.970	0.261	0.090	0.005	-0.016	0.002	0.208	0.008	0.381	0.008	0.473	0.012
211	100	3.814	0.086	8.980	0.267	0.091	0.005	-0.016	0.002	0.207	0.008	0.380	0.008	0.474	0.012
212	100	3.788	0.087	8.920	0.277	0.091	0.005	-0.017	0.002	0.206	0.008	0.379	0.008	0.476	0.012
213	100	3.802	0.089	8.960	0.276	0.093	0.005	-0.017	0.002	0.205	0.008	0.379	0.008	0.477	0.012
214	100	3.790	0.094	8.930	0.277	0.096	0.005	-0.017	0.002	0.204	0.008	0.378	0.008	0.479	0.013
215	100	3.780	0.094	8.830	0.280	0.097	0.006	-0.018	0.002	0.203	0.008	0.377	0.008	0.480	0.013
216	100	3.740	0.092	8.810	0.280	0.098	0.006	-0.018	0.002	0.203	0.008	0.376	0.008	0.481	0.013
217	100	3.728	0.094	8.780	0.280	0.099	0.006	-0.018	0.002	0.202	0.008	0.375	0.008	0.483	0.013
218	100	3.746	0.100	8.750	0.280	0.099	0.006	-0.019	0.002	0.201	0.008	0.374	0.008	0.484	0.013
219	100	3.728	0.096	8.650	0.278	0.099	0.006	-0.019	0.002	0.200	0.008	0.373	0.008	0.486	0.013
