Mating System: Maternal Dominant Sporophytic Self Incompatibility, with Distance-Dependent Pollination

Runs=50, Generations=500, Initial PopSize=250, Safe Sites=0.250, First Reproduction=2
Maximum Per-Capita Ovule Production=100.000, Seed Establishment=0.050, Deathrate=0.050
Pollen Dispersal Range=142, Seed Dispersal Range=50, SI Alleles=10, Neutral Alleles=3

GEN	NRUN	NGENE	ERR1	SGENE	ERR2	NVAR	ERR3	SVAR	ERR4	HO	ERR5	HE	ERR6	FIS	ERR7
18	50	2.848	0.028	9.040	0.028	-0.036	0.002	-0.006	0.000	0.482	0.003	0.637	0.004	0.243	0.004
19	50	2.828	0.021	9.020	0.020	-0.037	0.002	-0.006	0.000	0.479	0.003	0.634	0.004	0.244	0.005
20	50	2.868	0.034	9.060	0.034	-0.033	0.003	-0.006	0.000	0.475	0.003	0.631	0.005	0.247	0.005
21	50	2.900	0.040	9.080	0.039	-0.031	0.003	-0.006	0.000	0.473	0.003	0.629	0.005	0.247	0.005
22	50	2.888	0.039	9.120	0.046	-0.030	0.003	-0.005	0.000	0.470	0.003	0.627	0.005	0.249	0.005
23	50	2.992	0.056	9.240	0.061	-0.023	0.004	-0.005	0.000	0.468	0.003	0.625	0.005	0.250	0.005
24	50	2.992	0.056	9.340	0.089	-0.022	0.004	-0.005	0.000	0.465	0.003	0.623	0.005	0.251	0.005
25	50	3.108	0.072	9.520	0.096	-0.015	0.005	-0.005	0.000	0.462	0.004	0.621	0.005	0.254	0.005
26	50	3.220	0.078	9.600	0.107	-0.009	0.005	-0.005	0.000	0.460	0.004	0.618	0.005	0.255	0.005
27	50	3.272	0.080	9.700	0.122	-0.006	0.005	-0.005	0.000	0.457	0.004	0.616	0.005	0.257	0.005
28	50	3.424	0.083	9.980	0.132	0.002	0.005	-0.004	0.000	0.454	0.004	0.614	0.006	0.259	0.005
29	50	3.488	0.081	10.160	0.157	0.004	0.005	-0.004	0.000	0.453	0.004	0.612	0.006	0.259	0.005
30	50	3.528	0.080	10.300	0.162	0.005	0.005	-0.004	0.000	0.452	0.004	0.610	0.006	0.259	0.006
31	50	3.540	0.078	10.420	0.172	0.006	0.005	-0.004	0.000	0.450	0.005	0.608	0.006	0.260	0.006
32	50	3.688	0.096	10.680	0.195	0.011	0.005	-0.004	0.000	0.447	0.005	0.606	0.006	0.261	0.006
33	50	3.780	0.099	10.860	0.192	0.013	0.005	-0.003	0.000	0.446	0.005	0.604	0.006	0.262	0.007
34	50	3.852	0.090	11.240	0.221	0.016	0.005	-0.003	0.000	0.442	0.005	0.602	0.006	0.264	0.007
35	50	3.916	0.095	11.440	0.239	0.019	0.005	-0.003	0.000	0.439	0.005	0.599	0.006	0.266	0.007
36	50	3.932	0.104	11.600	0.236	0.019	0.005	-0.003	0.000	0.437	0.005	0.597	0.007	0.267	0.007
37	50	4.020	0.107	11.620	0.221	0.021	0.005	-0.003	0.000	0.434	0.005	0.594	0.007	0.268	0.007
38	50	4.108	0.110	11.760	0.237	0.022	0.005	-0.003	0.000	0.432	0.005	0.593	0.007	0.269	0.007
39	50	4.172	0.110	11.820	0.242	0.022	0.005	-0.003	0.000	0.430	0.005	0.591	0.007	0.271	0.008
40	50	4.304	0.108	12.080	0.266	0.028	0.005	-0.003	0.000	0.427	0.006	0.588	0.007	0.273	0.008
41	50	4.412	0.107	12.300	0.251	0.033	0.004	-0.003	0.000	0.425	0.006	0.586	0.007	0.273	0.008
42	50	4.576	0.120	12.380	0.275	0.031	0.004	-0.003	0.000	0.423	0.006	0.584	0.007	0.274	0.008
43	50	4.516	0.116	12.560	0.321	0.030	0.005	-0.003	0.000	0.421	0.006	0.582	0.007	0.276	0.008
44	50	4.584	0.131	12.540	0.303	0.030	0.005	-0.003	0.000	0.418	0.006	0.580	0.007	0.277	0.008
45	50	4.684	0.127	12.840	0.319	0.030	0.005	-0.003	0.000	0.417	0.006	0.578	0.007	0.278	0.008
46	50	4.816	0.133	13.100	0.330	0.029	0.005	-0.002	0.000	0.414	0.006	0.577	0.007	0.280	0.008
47	50	4.816	0.121	13.060	0.314	0.034	0.004	-0.002	0.000	0.412	0.006	0.574	0.007	0.281	0.008
48	50	4.856	0.125	13.100	0.297	0.035	0.004	-0.002	0.000	0.411	0.006	0.573	0.007	0.281	0.008
49	50	4.952	0.136	13.360	0.290	0.036	0.003	-0.002	0.000	0.408	0.006	0.570	0.007	0.283	0.008
50	50	4.952	0.140	13.400	0.310	0.035	0.004	-0.002	0.000	0.406	0.006	0.568	0.007	0.284	0.008
51	50	5.032	0.144	13.400	0.298	0.035	0.004	-0.002	0.000	0.404	0.006	0.566	0.007	0.285	0.008
52	50	5.108	0.147	13.580	0.330	0.035	0.004	-0.002	0.000	0.401	0.006	0.563	0.007	0.287	0.008
53	50	5.164	0.144	13.400	0.338	0.037	0.004	-0.003	0.000	0.399	0.006	0.560	0.007	0.287	0.008
54	50	5.232	0.149	13.500	0.309	0.040	0.004	-0.002	0.000	0.397	0.007	0.558	0.008	0.288	0.008
55	50	5.348	0.153	13.600	0.314	0.040	0.004	-0.002	0.000	0.395	0.006	0.556	0.008	0.289	0.008
56	50	5.456	0.160	13.780	0.347	0.038	0.004	-0.002	0.000	0.393	0.007	0.554	0.007	0.290	0.008
57	50	5.476	0.163	13.900	0.338	0.042	0.004	-0.002	0.000	0.390	0.007	0.551	0.007	0.291	0.009
58	50	5.476	0.167	13.960	0.328	0.041	0.004	-0.002	0.000	0.389	0.007	0.549	0.007	0.291	0.009
59	50	5.512	0.153	14.300	0.337	0.043	0.003	-0.002	0.000	0.387	0.007	0.547	0.008	0.292	0.009
60	50	5.528	0.157	14.360	0.322	0.046	0.003	-0.002	0.000	0.386	0.007	0.545	0.008	0.292	0.009
61	50	5.632	0.164	14.380	0.336	0.046	0.003	-0.002	0.000	0.384	0.007	0.542	0.008	0.292	0.009
62	50	5.580	0.163	14.260	0.333	0.045	0.003	-0.002	0.000	0.382	0.007	0.540	0.008	0.292	0.009
63	50	5.580	0.158	14.320	0.329	0.047	0.003	-0.002	0.000	0.380	0.007	0.538	0.008	0.294	0.009
64	50	5.556	0.157	14.160	0.306	0.050	0.003	-0.002	0.000	0.378	0.007	0.535	0.008	0.295	0.009
65	50	5.640	0.159	14.220	0.322	0.048	0.003	-0.002	0.000	0.375	0.007	0.533	0.008	0.296	0.009
66	50	5.736	0.151	14.580	0.343	0.048	0.004	-0.002	0.000	0.373	0.007	0.532	0.008	0.299	0.009
67	50	5.796	0.146	14.660	0.329	0.050	0.003	-0.002	0.000	0.370	0.007	0.529	0.008	0.300	0.009
68	50	5.820	0.146	14.560	0.330	0.049	0.003	-0.002	0.000	0.369	0.007	0.527	0.008	0.301	0.009
69	50	5.752	0.154	14.660	0.349	0.047	0.004	-0.002	0.000	0.367	0.007	0.525	0.008	0.300	0.009
70	50	5.856	0.154	14.740	0.344	0.049	0.004	-0.002	0.000	0.366	0.007	0.523	0.008	0.301	0.009
71	50	5.884	0.158	14.860	0.349	0.049	0.004	-0.002	0.000	0.365	0.007	0.522	0.008	0.301	0.009
72	50	5.884	0.171	14.920	0.347	0.048	0.004	-0.002	0.000	0.362	0.007	0.519	0.008	0.302	0.009
73	50	5.904	0.166	14.980	0.329	0.049	0.004	-0.002	0.000	0.359	0.007	0.516	0.008	0.304	0.009
74	50	5.904	0.166	15.120	0.338	0.050	0.004	-0.002	0.000	0.357	0.007	0.514	0.008	0.307	0.010
75	50	5.940	0.170	15.460	0.300	0.052	0.003	-0.002	0.000	0.355	0.007	0.512	0.008	0.307	0.010
76	50	5.916	0.180	15.400	0.318	0.048	0.004	-0.002	0.000	0.354	0.007	0.511	0.008	0.307	0.010
77	50	5.996	0.172	15.420	0.309	0.049	0.004	-0.002	0.000	0.352	0.008	0.509	0.008	0.309	0.010
78	50	6.008	0.172	15.520	0.313	0.050	0.004	-0.002	0.000	0.350	0.007	0.507	0.008	0.311	0.010
79	50	6.044	0.173	15.380	0.323	0.050	0.004	-0.002	0.000	0.348	0.008	0.505	0.008	0.312	0.010
80	50	6.056	0.170	15.640	0.351	0.051	0.004	-0.002	0.000	0.346	0.008	0.503	0.008	0.312	0.010
81	50	6.100	0.179	15.880	0.368	0.056	0.003	-0.002	0.000	0.344	0.008	0.500	0.008	0.313	0.010
82	50	6.064	0.171	15.880	0.363	0.058	0.003	-0.002	0.000	0.342	0.008	0.498	0.008	0.313	0.010
83	50	6.080	0.172	15.720	0.342	0.057	0.003	-0.002	0.000	0.341	0.008	0.496	0.008	0.314	0.010
84	50	6.108	0.169	15.860	0.361	0.058	0.002	-0.002	0.000	0.339	0.008	0.494	0.008	0.315	0.010
85	50	6.144	0.176	15.760	0.333	0.059	0.002	-0.002	0.000	0.338	0.008	0.492	0.007	0.315	0.010
86	50	6.120	0.161	15.780	0.370	0.060	0.003	-0.002	0.000	0.336	0.008	0.490	0.007	0.317	0.010
87	50	6.084	0.158	15.740	0.365	0.059	0.003	-0.002	0.000	0.335	0.008	0.489	0.007	0.316	0.010
88	50	6.124	0.156	15.900	0.386	0.059	0.003	-0.002	0.000	0.333	0.008	0.487	0.007	0.318	0.010
89	50	6.112	0.152	16.020	0.385	0.060	0.003	-0.002	0.000	0.331	0.008	0.484	0.007	0.320	0.010
90	50	6.104	0.149	16.020	0.366	0.061	0.003	-0.002	0.000	0.328	0.008	0.482	0.007	0.321	0.010
91	50	6.052	0.162	15.800	0.342	0.061	0.003	-0.003	0.000	0.327	0.008	0.480	0.008	0.322	0.010
92	50	6.068	0.151	15.800	0.316	0.060	0.003	-0.003	0.000	0.325	0.008	0.478	0.008	0.323	0.010
93	50	6.080	0.138	15.980	0.310	0.062	0.003	-0.002	0.000	0.323	0.008	0.476	0.008	0.325	0.010
94	50	6.124	0.143	16.060	0.335	0.062	0.003	-0.002	0.000	0.321	0.008	0.474	0.008	0.326	0.010
95	50	6.144	0.135	16.000	0.339	0.063	0.003	-0.003	0.000	0.319	0.008	0.472	0.008	0.327	0.010
96	50	6.136	0.132	15.860	0.358	0.061	0.003	-0.003	0.000	0.317	0.008	0.470	0.008	0.329	0.010
97	50	6.160	0.130	15.660	0.405	0.062	0.003	-0.003	0.000	0.317	0.008	0.469	0.008	0.328	0.011
98	50	6.216	0.139	15.920	0.403	0.063	0.003	-0.003	0.000	0.314	0.008	0.467	0.008	0.331	0.010
99	50	6.160	0.135	15.680	0.372	0.063	0.003	-0.003	0.000	0.313	0.008	0.465	0.008	0.332	0.010
100	50	6.148	0.147	15.520	0.350	0.064	0.003	-0.003	0.000	0.312	0.009	0.464	0.008	0.332	0.011
101	50	6.128	0.156	15.520	0.354	0.065	0.003	-0.003	0.000	0.309	0.009	0.462	0.008	0.334	0.011
102	50	6.012	0.174	15.340	0.348	0.068	0.003	-0.003	0.000	0.307	0.009	0.460	0.008	0.337	0.010
103	50	5.956	0.173	15.220	0.348	0.070	0.003	-0.003	0.000	0.306	0.009	0.459	0.008	0.338	0.011
104	50	5.924	0.155	15.120	0.339	0.069	0.003	-0.003	0.000	0.304	0.009	0.457	0.008	0.339	0.011
105	50	5.940	0.163	15.020	0.319	0.070	0.003	-0.003	0.000	0.303	0.009	0.456	0.008	0.340	0.011
106	50	5.864	0.155	14.900	0.313	0.072	0.003	-0.003	0.000	0.301	0.009	0.454	0.009	0.342	0.011
107	50	5.872	0.146	14.800	0.287	0.071	0.003	-0.003	0.000	0.300	0.009	0.453	0.009	0.343	0.011
108	50	5.876	0.139	14.720	0.296	0.072	0.003	-0.003	0.000	0.298	0.009	0.451	0.009	0.345	0.011
109	50	5.800	0.150	14.680	0.306	0.071	0.004	-0.004	0.000	0.298	0.009	0.451	0.009	0.344	0.012
110	50	5.812	0.149	14.900	0.315	0.073	0.004	-0.003	0.000	0.297	0.009	0.450	0.009	0.346	0.011
111	50	5.812	0.146	14.740	0.323	0.071	0.004	-0.004	0.000	0.295	0.009	0.448	0.009	0.348	0.011
112	50	5.772	0.157	14.520	0.326	0.070	0.004	-0.004	0.000	0.294	0.009	0.447	0.009	0.349	0.011
113	50	5.776	0.160	14.580	0.317	0.070	0.004	-0.004	0.000	0.291	0.009	0.446	0.009	0.352	0.012
114	50	5.724	0.142	14.600	0.318	0.072	0.004	-0.004	0.000	0.290	0.010	0.444	0.009	0.353	0.012
115	50	5.720	0.141	14.720	0.322	0.070	0.004	-0.004	0.000	0.289	0.010	0.443	0.009	0.356	0.012
116	50	5.752	0.139	14.540	0.299	0.073	0.004	-0.004	0.000	0.287	0.010	0.442	0.009	0.358	0.012
117	50	5.700	0.138	14.660	0.314	0.075	0.003	-0.004	0.000	0.286	0.010	0.442	0.009	0.359	0.012
118	50	5.604	0.139	14.420	0.337	0.073	0.004	-0.004	0.000	0.285	0.010	0.441	0.010	0.361	0.012
119	50	5.540	0.134	14.200	0.332	0.075	0.004	-0.004	0.000	0.283	0.010	0.439	0.010	0.362	0.012
120	50	5.556	0.141	14.220	0.355	0.074	0.004	-0.004	0.000	0.282	0.010	0.438	0.010	0.364	0.012
121	50	5.556	0.138	14.180	0.360	0.072	0.004	-0.004	0.000	0.280	0.010	0.437	0.010	0.366	0.012
122	50	5.488	0.141	14.020	0.356	0.069	0.004	-0.004	0.000	0.279	0.010	0.436	0.010	0.367	0.012
123	50	5.476	0.140	13.900	0.342	0.069	0.005	-0.004	0.000	0.278	0.010	0.434	0.010	0.369	0.012
124	50	5.456	0.134	13.780	0.319	0.069	0.005	-0.004	0.000	0.276	0.010	0.433	0.010	0.371	0.012
125	50	5.500	0.138	13.740	0.311	0.070	0.004	-0.004	0.000	0.275	0.010	0.433	0.010	0.372	0.012
126	50	5.452	0.156	13.740	0.310	0.069	0.004	-0.004	0.000	0.274	0.010	0.432	0.010	0.372	0.012
127	50	5.428	0.160	13.760	0.298	0.070	0.005	-0.004	0.000	0.273	0.010	0.431	0.010	0.375	0.012
128	50	5.500	0.165	13.660	0.294	0.068	0.005	-0.004	0.000	0.272	0.010	0.430	0.010	0.375	0.013
129	50	5.396	0.155	13.860	0.314	0.067	0.004	-0.004	0.000	0.271	0.010	0.430	0.010	0.377	0.013
130	50	5.380	0.165	13.680	0.328	0.067	0.004	-0.004	0.000	0.270	0.010	0.429	0.010	0.378	0.013
131	50	5.404	0.170	13.700	0.347	0.066	0.004	-0.005	0.000	0.269	0.010	0.428	0.010	0.379	0.013
132	50	5.312	0.177	13.440	0.344	0.068	0.005	-0.005	0.000	0.269	0.010	0.428	0.010	0.378	0.013
133	50	5.232	0.165	13.380	0.365	0.070	0.004	-0.005	0.000	0.269	0.010	0.427	0.010	0.378	0.013
134	50	5.208	0.162	13.220	0.344	0.072	0.005	-0.005	0.000	0.267	0.010	0.426	0.010	0.380	0.012
135	50	5.188	0.170	13.220	0.343	0.074	0.005	-0.005	0.000	0.266	0.010	0.425	0.010	0.382	0.012
136	50	5.156	0.167	13.180	0.340	0.075	0.005	-0.005	0.000	0.264	0.010	0.423	0.010	0.385	0.012
137	50	5.112	0.164	13.020	0.337	0.073	0.005	-0.005	0.000	0.262	0.010	0.422	0.010	0.386	0.012
138	50	5.108	0.156	13.160	0.327	0.075	0.005	-0.005	0.000	0.261	0.010	0.422	0.010	0.388	0.013
139	50	5.156	0.144	13.080	0.322	0.077	0.004	-0.005	0.000	0.260	0.010	0.421	0.010	0.389	0.013
140	50	5.160	0.139	12.960	0.318	0.077	0.004	-0.005	0.000	0.259	0.009	0.420	0.010	0.389	0.013
141	50	5.116	0.137	12.900	0.354	0.077	0.004	-0.005	0.000	0.259	0.009	0.419	0.010	0.389	0.013
142	50	5.068	0.137	12.780	0.361	0.077	0.004	-0.005	0.000	0.258	0.010	0.418	0.010	0.391	0.013
143	50	4.984	0.148	12.480	0.373	0.074	0.004	-0.006	0.000	0.256	0.010	0.417	0.010	0.394	0.013
144	50	4.980	0.146	12.420	0.386	0.074	0.004	-0.006	0.000	0.255	0.010	0.416	0.010	0.394	0.013
145	50	5.060	0.150	12.440	0.397	0.075	0.004	-0.006	0.000	0.255	0.010	0.416	0.010	0.395	0.013
146	50	5.092	0.146	12.480	0.375	0.074	0.004	-0.006	0.000	0.254	0.010	0.415	0.010	0.396	0.013
147	50	5.068	0.142	12.440	0.395	0.074	0.004	-0.006	0.000	0.252	0.010	0.413	0.010	0.398	0.013
148	50	4.984	0.148	12.240	0.419	0.068	0.005	-0.007	0.001	0.251	0.010	0.412	0.010	0.400	0.014
149	50	4.952	0.147	12.320	0.417	0.070	0.005	-0.006	0.001	0.250	0.010	0.411	0.010	0.400	0.014
150	50	4.932	0.141	12.120	0.410	0.070	0.005	-0.007	0.001	0.249	0.010	0.410	0.010	0.401	0.014
151	50	4.888	0.139	12.100	0.386	0.074	0.005	-0.006	0.000	0.249	0.010	0.410	0.010	0.402	0.014
152	50	4.892	0.136	11.960	0.380	0.073	0.005	-0.007	0.000	0.248	0.010	0.409	0.010	0.404	0.014
153	50	4.892	0.141	11.960	0.365	0.077	0.005	-0.007	0.000	0.247	0.010	0.408	0.010	0.405	0.014
154	50	4.864	0.144	11.900	0.347	0.075	0.005	-0.007	0.000	0.245	0.010	0.407	0.010	0.406	0.014
155	50	4.848	0.147	11.840	0.353	0.078	0.005	-0.007	0.001	0.244	0.010	0.406	0.010	0.407	0.014
156	50	4.908	0.152	11.840	0.352	0.076	0.005	-0.007	0.000	0.242	0.010	0.404	0.010	0.410	0.014
157	50	4.888	0.153	11.620	0.343	0.076	0.005	-0.007	0.001	0.241	0.010	0.403	0.010	0.412	0.014
158	50	4.864	0.154	11.560	0.313	0.078	0.004	-0.007	0.001	0.240	0.010	0.402	0.010	0.414	0.014
159	50	4.848	0.152	11.600	0.336	0.079	0.005	-0.007	0.001	0.239	0.010	0.401	0.010	0.415	0.014
160	50	4.796	0.149	11.540	0.338	0.078	0.005	-0.007	0.001	0.237	0.010	0.400	0.011	0.416	0.015
161	50	4.744	0.145	11.580	0.341	0.079	0.005	-0.007	0.001	0.236	0.010	0.398	0.011	0.417	0.015
162	50	4.728	0.140	11.580	0.348	0.080	0.005	-0.007	0.001	0.233	0.010	0.397	0.010	0.422	0.014
163	50	4.728	0.144	11.540	0.333	0.081	0.005	-0.007	0.001	0.231	0.010	0.395	0.010	0.425	0.014
164	50	4.716	0.155	11.580	0.330	0.084	0.004	-0.007	0.001	0.230	0.010	0.395	0.010	0.426	0.014
165	50	4.696	0.155	11.440	0.333	0.085	0.004	-0.008	0.001	0.229	0.010	0.394	0.010	0.427	0.014
166	50	4.656	0.156	11.320	0.323	0.085	0.004	-0.008	0.001	0.229	0.010	0.393	0.010	0.428	0.014
167	50	4.660	0.151	11.260	0.313	0.086	0.004	-0.008	0.001	0.227	0.010	0.393	0.010	0.430	0.014
168	50	4.572	0.139	11.300	0.322	0.085	0.005	-0.008	0.001	0.226	0.010	0.391	0.010	0.431	0.014
169	50	4.604	0.142	11.280	0.325	0.086	0.005	-0.008	0.001	0.225	0.009	0.391	0.010	0.433	0.014
170	50	4.592	0.155	11.360	0.348	0.087	0.004	-0.008	0.001	0.224	0.009	0.391	0.010	0.434	0.014
171	50	4.580	0.157	11.360	0.334	0.088	0.005	-0.008	0.001	0.224	0.009	0.390	0.010	0.435	0.014
172	50	4.584	0.153	11.420	0.332	0.086	0.005	-0.008	0.001	0.223	0.009	0.390	0.010	0.437	0.014
173	50	4.612	0.154	11.340	0.316	0.086	0.005	-0.008	0.001	0.222	0.009	0.389	0.010	0.437	0.014
174	50	4.576	0.148	11.260	0.327	0.088	0.005	-0.008	0.001	0.221	0.009	0.388	0.010	0.439	0.014
175	50	4.592	0.144	11.180	0.324	0.089	0.005	-0.008	0.001	0.220	0.009	0.387	0.010	0.440	0.014
176	50	4.548	0.141	11.180	0.340	0.089	0.005	-0.008	0.001	0.220	0.009	0.387	0.010	0.441	0.014
177	50	4.556	0.142	11.160	0.334	0.089	0.005	-0.008	0.001	0.219	0.009	0.386	0.010	0.442	0.014
178	50	4.556	0.135	11.040	0.310	0.086	0.005	-0.008	0.001	0.219	0.009	0.386	0.010	0.443	0.014
179	50	4.520	0.121	10.980	0.299	0.089	0.005	-0.008	0.001	0.218	0.009	0.385	0.010	0.444	0.015
180	50	4.460	0.119	10.920	0.290	0.089	0.006	-0.008	0.001	0.216	0.009	0.384	0.010	0.446	0.015
181	50	4.412	0.115	10.840	0.295	0.088	0.006	-0.008	0.001	0.217	0.010	0.384	0.010	0.446	0.015
182	50	4.408	0.119	10.840	0.319	0.088	0.006	-0.009	0.001	0.215	0.010	0.383	0.010	0.448	0.015
183	50	4.364	0.113	10.860	0.333	0.089	0.006	-0.009	0.001	0.215	0.010	0.382	0.010	0.449	0.015
184	50	4.324	0.106	10.840	0.347	0.089	0.005	-0.009	0.001	0.214	0.010	0.381	0.010	0.450	0.015
185	50	4.308	0.106	10.700	0.365	0.089	0.006	-0.009	0.001	0.213	0.010	0.381	0.010	0.451	0.015
186	50	4.300	0.109	10.600	0.369	0.088	0.005	-0.010	0.001	0.213	0.010	0.381	0.010	0.451	0.015
187	50	4.216	0.108	10.460	0.373	0.091	0.005	-0.010	0.001	0.212	0.010	0.379	0.010	0.453	0.015
188	50	4.160	0.109	10.300	0.379	0.089	0.006	-0.011	0.001	0.211	0.010	0.379	0.010	0.455	0.015
189	50	4.152	0.113	10.360	0.376	0.089	0.006	-0.010	0.001	0.210	0.010	0.378	0.010	0.456	0.015
190	50	4.128	0.116	10.140	0.373	0.086	0.005	-0.011	0.001	0.209	0.010	0.377	0.010	0.458	0.015
191	50	4.124	0.124	10.200	0.360	0.088	0.006	-0.011	0.001	0.208	0.010	0.377	0.010	0.459	0.015
192	50	4.148	0.128	10.100	0.347	0.088	0.005	-0.011	0.001	0.207	0.010	0.376	0.010	0.461	0.015
193	50	4.128	0.129	9.960	0.350	0.094	0.006	-0.012	0.001	0.207	0.010	0.375	0.010	0.461	0.015
194	50	4.068	0.124	9.880	0.354	0.097	0.006	-0.012	0.001	0.206	0.010	0.374	0.010	0.461	0.015
195	50	4.064	0.131	9.780	0.370	0.097	0.006	-0.012	0.001	0.205	0.010	0.373	0.010	0.463	0.015
196	50	4.096	0.136	9.760	0.355	0.096	0.006	-0.012	0.001	0.205	0.010	0.373	0.010	0.464	0.015
197	50	4.044	0.133	9.780	0.337	0.099	0.006	-0.012	0.001	0.204	0.010	0.372	0.010	0.465	0.015
198	50	4.028	0.130	9.700	0.358	0.098	0.006	-0.012	0.001	0.203	0.010	0.371	0.010	0.466	0.015
199	50	4.000	0.128	9.800	0.393	0.098	0.006	-0.013	0.002	0.203	0.010	0.371	0.010	0.467	0.016
200	50	3.932	0.126	9.640	0.380	0.096	0.007	-0.013	0.002	0.202	0.010	0.370	0.010	0.467	0.016
201	50	3.912	0.124	9.480	0.365	0.094	0.006	-0.013	0.002	0.201	0.010	0.369	0.010	0.468	0.015
202	50	3.884	0.119	9.440	0.365	0.098	0.006	-0.014	0.002	0.201	0.010	0.369	0.010	0.469	0.015
203	50	3.920	0.125	9.380	0.370	0.101	0.007	-0.016	0.003	0.200	0.010	0.368	0.010	0.470	0.016
204	50	3.880	0.122	9.220	0.362	0.097	0.007	-0.017	0.003	0.199	0.010	0.367	0.010	0.472	0.015
205	50	3.856	0.118	9.140	0.357	0.099	0.007	-0.017	0.003	0.198	0.010	0.367	0.010	0.473	0.016
206	50	3.788	0.123	9.000	0.366	0.103	0.007	-0.018	0.004	0.197	0.010	0.365	0.010	0.474	0.015
207	50	3.800	0.122	8.940	0.367	0.105	0.008	-0.017	0.002	0.196	0.010	0.364	0.010	0.475	0.016
208	50	3.804	0.128	8.880	0.363	0.107	0.008	-0.017	0.002	0.195	0.010	0.363	0.010	0.477	0.016
209	50	3.804	0.125	8.800	0.342	0.107	0.008	-0.017	0.002	0.194	0.010	0.362	0.010	0.478	0.016
210	50	3.800	0.126	8.760	0.339	0.110	0.008	-0.018	0.003	0.194	0.010	0.361	0.010	0.479	0.016
211	50	3.708	0.126	8.700	0.337	0.109	0.008	-0.019	0.003	0.192	0.010	0.360	0.010	0.481	0.016
212	50	3.720	0.133	8.660	0.336	0.107	0.007	-0.019	0.003	0.191	0.010	0.358	0.010	0.483	0.017
213	50	3.724	0.128	8.640	0.350	0.102	0.007	-0.020	0.003	0.189	0.010	0.357	0.010	0.485	0.017
214	50	3.724	0.129	8.560	0.344	0.106	0.007	-0.021	0.004	0.188	0.010	0.355	0.010	0.487	0.017
215	50	3.676	0.120	8.420	0.343	0.108	0.007	-0.022	0.004	0.187	0.010	0.354	0.010	0.489	0.017
216	50	3.708	0.116	8.500	0.331	0.106	0.007	-0.019	0.003	0.185	0.010	0.353	0.010	0.490	0.017
217	50	3.756	0.131	8.460	0.322	0.107	0.007	-0.019	0.003	0.184	0.010	0.351	0.010	0.493	0.017
218	50	3.732	0.127	8.240	0.325	0.112	0.007	-0.021	0.003	0.183	0.010	0.350	0.010	0.494	0.017
219	50	3.692	0.129	8.120	0.323	0.114	0.008	-0.022	0.003	0.182	0.010	0.350	0.010	0.496	0.017
